# SampleCounter	Dev.DutyCycle.value	Controller.enabled	Controller.alfa	Controller.alfa_dot	Controller.alfa_int	Controller.x	Controller.x_dot	Controller.x_int
8574	-0.0691661	1	-0.260301	-2.012	30.5415	-0.0873755	-0.00452489	-211.774
8575	-0.0702555	1	-0.265946	-0.0918836	30.2753	-0.0873755	0	-211.859
8576	-0.0682717	1	-0.272615	-1.13577	30.0024	-0.0873755	0	-211.945
8577	-0.0690219	1	-0.278883	0.520344	29.7232	-0.0873755	0	-212.03
8578	-0.0648236	1	-0.289054	-2.37154	29.4338	-0.0873755	0	-212.115
8579	-0.0716765	1	-0.263963	2.23657	29.1696	-0.0873755	0	-212.2
8580	-0.0745008	1	-0.226613	1.55269	28.9427	-0.0873982	-0.00226244	-212.286
8581	-0.0804267	1	-0.18316	3.3168	28.7592	-0.0873982	0	-212.371
8582	0.0529453	1	-0.158203	0.940912	28.6007	-0.0874208	-0.00226244	-212.456
8583	0.052606	1	-0.182147	3.85702	28.4183	-0.0872851	0.0135747	-212.541
8584	-0.077196	1	-0.187146	1.01313	28.2309	-0.0869231	0.0361991	-212.626
8585	-0.0771312	1	-0.188666	1.28923	28.0419	-0.0869231	0	-212.711
8586	0.0473242	1	-0.133827	4.81733	27.9078	-0.0873755	-0.0452489	-212.796
8587	0.0505702	1	-0.0951339	-2.20257	27.8124	-0.0871946	0.0180995	-212.881
8588	-0.096687	1	0.0213334	0.0535256	27.8335	-0.0869231	0.0271493	-212.966
8589	-0.105968	1	0.0947194	1.90162	27.9279	-0.0870136	-0.00904977	-213.051
8590	0.0114501	1	0.351042	-8.16628	28.2787	-0.0873529	-0.0339366	-213.136
8591	0.0379746	1	0.0697407	-6.63018	28.3481	-0.0873529	0	-213.222
8592	-0.0805763	1	-0.0868129	-5.67007	28.261	-0.0873077	0.00452489	-213.307
8593	-0.0819713	1	-0.128457	0.0180404	28.1323	-0.0874434	-0.0135747	-213.392
8594	0.0836659	1	-0.39344	-5.39384	27.7386	-0.0875339	-0.00904977	-213.477
8595	0.0910967	1	-0.4946	-2.21373	27.2437	-0.0872851	0.0248869	-213.563
8596	-0.0493591	1	-0.486192	4.5544	26.7572	-0.0864706	0.0814479	-213.647
8597	-0.0725574	1	-0.298146	9.24652	26.4588	-0.0860181	0.0452489	-213.731
8598	0.0497104	1	-0.154504	6.10263	26.304	-0.0864253	-0.040724	-213.815
8599	0.0464435	1	-0.0840328	2.40674	26.2197	-0.0866968	-0.0271493	-213.9
8600	-0.089953	1	-0.0152076	-1.39716	26.2043	-0.0864706	0.0226244	-213.984
8601	-0.105144	1	0.0783157	4.36294	26.2823	-0.0865837	-0.0113122	-214.068
8602	-0.00259635	1	0.428811	-0.328963	26.7109	-0.0871267	-0.0542986	-214.153
8603	-0.0138298	1	0.595789	-6.38887	27.3064	-0.0870814	0.00452489	-214.238
8604	-0.157742	1	0.683231	-5.23677	27.9894	-0.0870814	0	-214.323
8605	-0.165398	1	0.768658	-6.89266	28.7577	-0.0871267	-0.00452489	-214.408
8606	-0.0391523	1	0.941842	-18.0645	29.6993	-0.0874208	-0.0294118	-214.494
8607	-0.0458315	1	0.993422	-17.5364	30.6924	-0.0875113	-0.00904977	-214.579
8608	-0.188452	1	0.991776	-9.07628	31.6839	-0.0875792	-0.00678733	-214.664
8609	-0.219244	1	1.24239	-4.58813	32.926	-0.088009	-0.0429864	-214.75
8610	-0.0870815	1	1.34814	-15.34	34.2738	-0.0881674	-0.0158371	-214.836
8611	-0.0862991	1	1.29818	-12.4238	35.5716	-0.0883484	-0.0180995	-214.922
8612	-0.23845	1	1.42518	-7.73161	36.9964	-0.0886425	-0.0294118	-215.009
8613	-0.250716	1	1.4888	-3.31542	38.4849	-0.0890045	-0.0361991	-215.096
8614	-0.0825436	1	1.28357	-18.9152	39.7681	-0.0893891	-0.0384615	-215.183
8615	-0.0515479	1	0.994276	-21.975	40.7619	-0.089638	-0.0248869	-215.27
8616	-0.192053	1	0.912989	-7.58678	41.6745	-0.09	-0.0361991	-215.358
8617	-0.189477	1	0.902685	-10.0345	42.5768	-0.0904751	-0.0475113	-215.447
8618	-0.0444102	1	0.850641	-17.4143	43.427	-0.0907692	-0.0294118	-215.535
